INFO 2023-04-23 19:54:26,651 Watching for file changes with StatReloader
INFO 2023-04-23 19:54:38,722 "GET / HTTP/1.1" 302 0
INFO 2023-04-23 19:54:39,311 "GET /accounts/login/?next=/ HTTP/1.1" 200 4827
INFO 2023-04-23 19:54:39,622 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 200 367
INFO 2023-04-23 19:54:39,840 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 200 367
INFO 2023-04-23 19:54:39,900 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 200 367
INFO 2023-04-23 19:54:39,905 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 200 367
INFO 2023-04-23 19:54:39,929 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 200 367
INFO 2023-04-23 19:54:39,929 "GET /static/dist/css/login-page.css HTTP/1.1" 200 367
INFO 2023-04-23 19:54:40,214 "GET /static/dist/js/jquery.formset.js HTTP/1.1" 200 367
INFO 2023-04-23 19:54:40,409 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 367
INFO 2023-04-23 19:54:40,458 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 200 367
INFO 2023-04-23 19:54:40,471 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 200 367
INFO 2023-04-23 19:54:40,519 "GET /static/dist/js/demo.js HTTP/1.1" 200 367
INFO 2023-04-23 19:54:40,519 "GET /static/dist/js/adminlte.js HTTP/1.1" 200 367
INFO 2023-04-23 19:54:40,795 "GET /static/dist/img/login.png HTTP/1.1" 200 367
INFO 2023-04-23 19:54:41,412 "GET /favicon.ico HTTP/1.1" 200 367
INFO 2023-04-23 19:54:50,270 "GET /admin/ HTTP/1.1" 302 0
INFO 2023-04-23 19:54:50,913 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4178
INFO 2023-04-23 19:54:51,212 "GET /static/admin/css/base.css HTTP/1.1" 200 367
INFO 2023-04-23 19:54:51,213 "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 367
INFO 2023-04-23 19:54:51,226 "GET /static/admin/css/responsive.css HTTP/1.1" 200 367
INFO 2023-04-23 19:54:51,233 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 367
INFO 2023-04-23 19:54:51,234 "GET /static/admin/css/login.css HTTP/1.1" 200 367
INFO 2023-04-23 19:54:51,479 "GET /static/admin/js/theme.js HTTP/1.1" 200 367
INFO 2023-04-23 19:54:51,783 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 367
INFO 2023-04-23 19:54:52,369 "GET /favicon.ico HTTP/1.1" 200 367
